,OBJECTID,GEO_ID,LFN_ID,LF_NAME,FNODE,TNODE,ONE_WAY_DI,length_in_,GEO_ID_1,LTS,Shape_Leng,geometry,index_left,Count Date,8 Peak Hr Vehicle Volume,8 Peak Hr Pedestrian Volume
234,235,914084,2603,The Queensway,13470138,13470202,0,474.738244842,914084,4,0.00531488357423,"LINESTRING (615984.4019055124 4829817.755866417, 615618.3411017162 4829515.572381595)","(909.0,)","('09-19-2017',)",28233.0,70.0
235,236,30071380,2604,The West Mall,13470138,30071379,0,371.412349035,30071380,4,0.00402068263052,"LINESTRING (615984.4019055124 4829817.755866417, 615949.721165382 4829861.367972123, 615919.5019510868 4829896.318057129, 615892.0885292833 4829926.040824926, 615873.1323727035 4829940.366774573, 615769.6570327418 4830028.920347815, 615718.1864972339 4830074.948696328)","(909.0,)","('09-19-2017',)",28233.0,70.0
236,237,913986,2604,The West Mall,13470140,13470138,0,16.7494818759,913986,3,0.000178642216197,"LINESTRING (615995.8126886055 4829805.621424128, 615992.2856673071 4829810.591864232, 615984.4019055124 4829817.755866417)","(909.0,)","('09-19-2017',)",28233.0,70.0
237,238,913980,2603,The Queensway,13470132,13470138,0,59.8474298738,913980,4,0.000662473512808,"LINESTRING (616029.0082781626 4829857.64346922, 615984.4019055124 4829817.755866417)","(909.0,)","('09-19-2017',)",28233.0,70.0
282,283,3131247,2060,Markland Dr,13469403,13469463,0,173.904064451,3131247,2,0.00188190730353,"LINESTRING (614568.1682116431 4831680.166658998, 614642.789972537 4831608.387574149, 614692.8888788512 4831559.014239189)","(1111.0,)","('05-30-2012',)",13528.0,375.0
283,284,913055,458,Bloor St W,13469403,13469430,0,74.7473895376,913055,4,0.000811730663966,"LINESTRING (614568.1682116431 4831680.166658998, 614515.762824849 4831626.881643684)","(1111.0,)","('05-30-2012',)",13528.0,375.0
284,285,913026,2060,Markland Dr,13469381,13469403,0,66.4914341414,913026,2,0.000737974640586,"LINESTRING (614517.0235427601 4831721.566061877, 614529.2026197233 4831715.011514572, 614537.0754500502 4831710.299116841, 614542.7507190872 4831706.224735117, 614548.4068221519 4831700.946115232, 614552.6092310866 4831695.210125755, 614568.1682116431 4831680.166658998)","(1111.0,)","('05-30-2012',)",13528.0,375.0
290,291,30073849,2604,The West Mall,13470244,13470207,0,179.08739867,30073849,4,0.00196140575642,"LINESTRING (616315.789281462 4829383.878182366, 616313.1919491226 4829388.266237124, 616310.6771327769 4829392.283757904, 616307.8884437602 4829396.851429938, 616305.0751037602 4829400.848485961, 616302.244030101 4829404.993302719, 616299.147111748 4829408.853358542, 616296.269936702 4829412.831326394, 616293.0591931227 4829416.461214158, 616290.0218741813 4829420.510339573, 616286.6615066448 4829424.115553871, 616283.2622786018 4829428.102952573, 616280.0261147622 4829431.805439683, 616276.8111333899 4829435.672248877, 616273.320733558 4829439.17010764, 616270.0179337115 4829442.797409544, 616266.3873395227 4829446.580781676, 616262.8548367897 4829450.028859113, 616259.2188635129 4829453.227165606, 616255.3115122444 4829456.610396804, 616251.3290774878 4829459.714476737, 616247.3579300275 4829462.586562697, 616243.289212476 4829465.329073207, 616238.5295122395 4829468.452949676, 616238.4149832983 4829468.534988078, 616232.4245156309 4829471.426512241, 616226.4969724022 4829474.319332612, 616220.5604046038 4829477.711953598, 616214.6958656735 4829480.605976491, 616208.8522038729 4829484.000318351, 616203.0107253277 4829487.39470296, 616197.2289819432 4829490.790128103, 616191.5434027503 4829494.187425012, 616183.8077170146 4829500.347678995)","(732.0, 926.0)","('11-26-2016', '03-28-2011')",15053.0,753.5
315,316,5524341,458,Bloor St W,13469038,13469087,0,157.839420834,5524341,3,0.00191070673866,"LINESTRING (615574.5970015409 4832270.608520225, 615519.3431787 4832252.119990217, 615439.3870289327 4832223.407111265, 615425.5137709256 4832218.866116709)","(2149.0,)","('09-23-2014',)",13433.0,120.0
320,321,912255,2111,Mill Rd,13468599,13468564,0,69.1825175597,912255,3,0.000753054987168,"LINESTRING (614233.5863078767 4832727.705471909, 614183.0822361757 4832774.972987926)","(1297.0,)","('09-30-2014',)",22625.0,629.0
